purchase_order_id,supplier_id,supplier_name,item_id,item_name,quantity,unit_cost,total_cost,order_date,expected_delivery,po_status
PO0025,SUP001,Vertex Traders,P112,Webcam,82,2669.35,218886.7,2023-07-11,2023-07-27,Delivered
PO0026,SUP004,Global Components,P104,Keyboard,72,1130.8,81417.6,2023-07-27,2023-08-02,Ordered
PO0027,SUP007,ABC Technologies,P112,Webcam,103,2574.41,265164.23,2024-06-25,2024-07-15,Partially Delivered
PO0028,SUP007,Apex Industrial,P112,Webcam,78,2115.0,164970.0,2024-04-23,2024-05-22,Partially Delivered
PO0029,SUP005,Vertex Traders,P108,Scanner,94,7493.79,704416.26,2024-02-16,2024-03-10,Delivered
PO0030,SUP005,National Electronics,P106,Router,71,2383.42,169222.82,2024-07-31,2024-08-20,Cancelled
PO0031,SUP004,Reliable Systems,P115,Headset,138,1595.26,220145.88,2023-03-07,2023-03-25,Delivered
PO0032,SUP009,ABC Technologies,P102,Printer,55,7835.73,430965.15,2024-01-14,2024-01-19,Partially Delivered
PO0033,SUP007,Apex Industrial,P115,Headset,88,1685.79,148349.52,2023-12-16,2023-12-26,Delivered
PO0034,SUP008,Prime Supplies,P106,Router,105,2529.5,265597.5,2024-02-11,2024-02-25,Ordered
PO0035,SUP004,Vertex Traders,P114,RAM,71,2105.44,149486.24,2023-10-10,2023-10-19,Ordered
PO0036,SUP005,Bluechip Suppliers,P105,Mouse,56,598.9,33538.4,2023-10-20,2023-10-26,Delivered
PO0037,SUP006,Reliable Systems,P104,Keyboard,50,1498.12,74906.0,2023-04-30,2023-05-14,Delivered
PO0038,SUP008,Metro Distributors,P112,Webcam,24,2194.69,52672.56,2024-02-27,2024-03-10,Ordered
PO0039,SUP002,Smart Source,P115,Headset,14,1341.59,18782.26,2024-10-23,2024-11-18,Partially Delivered
PO0040,SUP006,Bluechip Suppliers,P115,Headset,52,1422.3,73959.6,2023-05-04,2023-05-11,Cancelled
PO0041,SUP005,Prime Supplies,P102,Printer,81,7746.01,627426.81,2023-08-03,2023-08-19,Cancelled
PO0042,SUP008,ABC Technologies,P115,Headset,139,1894.21,263295.19,2023-09-23,2023-10-06,Ordered
PO0043,SUP001,Bluechip Suppliers,P108,Scanner,59,7057.03,416364.77,2023-06-17,2023-07-12,Cancelled
PO0044,SUP008,Smart Source,P113,SSD,97,4469.26,433518.22,2023-06-01,2023-06-13,Cancelled
PO0045,SUP004,Metro Distributors,P103,Monitor,120,5360.73,643287.6,2023-11-28,2023-12-16,Cancelled
PO0046,SUP001,Vertex Traders,P101,Laptop,38,31679.86,1203834.68,2023-03-05,2023-03-30,Delivered
PO0047,SUP006,Vertex Traders,P114,RAM,122,3152.97,384662.34,2023-03-06,2023-03-11,Ordered
PO0048,SUP003,Prime Supplies,P101,Laptop,16,41311.62,660985.92,2024-05-10,2024-06-05,Ordered
PO0049,SUP002,National Electronics,P105,Mouse,57,581.34,33136.38,2024-11-09,2024-11-20,Ordered
PO0050,SUP002,Metro Distributors,P110,UPS,87,3708.08,322602.96,2024-08-10,2024-09-06,Cancelled
PO0051,SUP004,Global Components,P109,Projector,32,19552.77,625688.64,2023-06-18,2023-06-24,Delivered
PO0052,SUP007,Prime Supplies,P107,Tablet,98,14417.03,1412868.94,2023-06-07,2023-06-28,Ordered
PO0053,SUP004,Vertex Traders,P110,UPS,57,4336.1,247157.7,2024-10-08,2024-10-28,Delivered
PO0054,SUP004,Metro Distributors,P112,Webcam,105,2687.71,282209.55,2023-12-27,2024-01-22,Delivered
PO0055,SUP010,Metro Distributors,P103,Monitor,48,5935.85,284920.8,2024-03-29,2024-04-10,Delivered
PO0056,SUP004,Vertex Traders,P101,Laptop,83,32953.86,2735170.38,2024-04-30,2024-05-27,Delivered
PO0057,SUP006,ABC Technologies,P103,Monitor,68,5415.74,368270.32,2023-03-31,2023-04-21,Cancelled
PO0058,SUP001,Bluechip Suppliers,P107,Tablet,33,18088.83,596931.39,2024-07-18,2024-08-06,Delivered
PO0059,SUP009,Prime Supplies,P107,Tablet,137,17300.22,2370130.14,2023-05-04,2023-06-02,Delivered
PO0060,SUP003,National Electronics,P107,Tablet,19,12751.22,242273.18,2024-05-18,2024-05-26,Ordered
PO0061,SUP009,Prime Supplies,P106,Router,66,2862.6,188931.6,2024-07-25,2024-08-20,Ordered
PO0062,SUP005,Bluechip Suppliers,P114,RAM,136,2849.49,387530.64,2024-10-07,2024-10-25,Partially Delivered
PO0063,SUP005,Prime Supplies,P113,SSD,113,3814.49,431037.37,2023-11-29,2023-12-18,Delivered
PO0064,SUP003,Bluechip Suppliers,P104,Keyboard,65,1520.36,98823.4,2023-06-06,2023-06-15,Ordered
PO0065,SUP003,Vertex Traders,P111,Desktop,37,32605.2,1206392.4,2023-10-27,2023-11-09,Delivered
PO0066,SUP001,National Electronics,P112,Webcam,57,1931.49,110094.93,2023-12-29,2024-01-15,Delivered
PO0067,SUP007,Metro Distributors,P114,RAM,96,2330.61,223738.56,2024-11-02,2024-11-08,Cancelled
PO0068,SUP009,ABC Technologies,P114,RAM,72,2166.0,155952.0,2024-10-25,2024-11-02,Partially Delivered
PO0069,SUP008,Vertex Traders,P107,Tablet,135,13920.15,1879220.25,2023-08-30,2023-09-04,Delivered
PO0070,SUP006,Prime Supplies,P114,RAM,88,2970.27,261383.76,2024-10-30,2024-11-21,Ordered
PO0071,SUP007,ABC Technologies,P115,Headset,28,1478.22,41390.16,2024-01-30,2024-02-09,Partially Delivered
PO0072,SUP006,National Electronics,P111,Desktop,112,25988.41,2910701.92,2024-04-29,2024-05-25,Ordered
PO0073,SUP006,Reliable Systems,P106,Router,80,2755.29,220423.2,2023-02-16,2023-03-04,Ordered
PO0074,SUP006,Global Components,P113,SSD,54,4570.69,246817.26,2024-11-06,2024-11-13,Cancelled
PO0075,SUP006,Vertex Traders,P112,Webcam,78,1829.14,142672.92,2024-08-02,2024-08-31,Cancelled
PO0076,SUP010,National Electronics,P105,Mouse,14,648.79,9083.06,2024-11-17,2024-11-24,Delivered
PO0077,SUP003,ABC Technologies,P110,UPS,92,4111.55,378262.6,2024-05-23,2024-06-08,Cancelled
PO0078,SUP003,National Electronics,P113,SSD,10,4363.49,43634.9,2023-01-19,2023-02-01,Delivered
PO0079,SUP002,Prime Supplies,P111,Desktop,13,23996.12,311949.56,2024-10-29,2024-11-18,Ordered
PO0080,SUP004,National Electronics,P103,Monitor,88,4575.9,402679.2,2023-07-26,2023-08-18,Cancelled
PO0081,SUP001,Apex Industrial,P108,Scanner,146,6839.61,998583.06,2024-04-09,2024-04-26,Cancelled
PO0082,SUP004,Global Components,P104,Keyboard,28,1079.09,30214.52,2024-05-17,2024-06-06,Delivered
PO0083,SUP001,Smart Source,P103,Monitor,122,5964.88,727715.36,2024-11-22,2024-12-21,Partially Delivered
PO0084,SUP009,National Electronics,P112,Webcam,145,2273.37,329638.65,2024-05-01,2024-05-26,Partially Delivered
PO0085,SUP005,Metro Distributors,P104,Keyboard,63,1497.98,94372.74,2024-12-02,2024-12-25,Ordered
PO0086,SUP005,Metro Distributors,P110,UPS,33,4433.94,146320.02,2024-01-27,2024-02-11,Ordered
PO0087,SUP001,Prime Supplies,P109,Projector,95,16926.19,1607988.05,2023-05-08,2023-05-17,Ordered
PO0088,SUP006,Smart Source,P110,UPS,27,3933.55,106205.85,2023-01-25,2023-02-23,Cancelled
PO0089,SUP005,Smart Source,P105,Mouse,82,647.02,53055.64,2024-04-12,2024-05-12,Ordered
PO0090,SUP008,National Electronics,P112,Webcam,22,1761.14,38745.08,2024-03-06,2024-03-28,Partially Delivered
PO0091,SUP007,Reliable Systems,P105,Mouse,149,674.65,100522.85,2024-03-21,2024-04-10,Cancelled
PO0092,SUP004,National Electronics,P110,UPS,125,4962.04,620255.0,2023-04-02,2023-04-20,Partially Delivered
PO0093,SUP001,National Electronics,P107,Tablet,18,13795.75,248323.5,2023-12-05,2023-12-11,Delivered
PO0094,SUP001,Apex Industrial,P106,Router,90,2658.98,239308.2,2024-04-26,2024-05-07,Cancelled
PO0095,SUP002,Global Components,P105,Mouse,119,661.44,78711.36,2024-04-20,2024-05-09,Partially Delivered
PO0096,SUP006,Apex Industrial,P103,Monitor,107,4934.58,528000.06,2023-07-30,2023-08-05,Cancelled
PO0097,SUP003,Bluechip Suppliers,P112,Webcam,12,1932.08,23184.96,2023-12-25,2024-01-02,Delivered
PO0098,SUP004,Global Components,P108,Scanner,115,7147.1,821916.5,2024-03-12,2024-03-26,Partially Delivered
PO0099,SUP010,Vertex Traders,P110,UPS,84,4949.1,415724.4,2024-09-27,2024-10-19,Cancelled
PO0100,SUP005,Vertex Traders,P106,Router,82,2359.64,193490.48,2024-03-21,2024-04-02,Partially Delivered
PO0101,SUP005,Global Components,P114,RAM,84,2939.68,246933.12,2023-11-11,2023-12-08,Partially Delivered
PO0102,SUP004,Apex Industrial,P110,UPS,41,4011.94,164489.54,2024-09-09,2024-10-02,Delivered
PO0103,SUP004,Apex Industrial,P114,RAM,76,2404.4,182734.4,2024-04-06,2024-04-20,Partially Delivered
PO0104,SUP009,Prime Supplies,P115,Headset,114,1509.93,172132.02,2024-06-22,2024-07-21,Delivered
PO0105,SUP003,Apex Industrial,P104,Keyboard,22,1310.39,28828.58,2024-05-27,2024-06-14,Cancelled
PO0106,SUP009,Apex Industrial,P112,Webcam,65,2708.79,176071.35,2024-11-16,2024-12-08,Partially Delivered
PO0107,SUP010,Smart Source,P102,Printer,73,7167.7,523242.1,2023-01-09,2023-02-07,Delivered
PO0108,SUP001,Smart Source,P101,Laptop,54,29227.15,1578266.1,2024-05-05,2024-06-03,Partially Delivered
PO0109,SUP007,Vertex Traders,P105,Mouse,142,588.89,83622.38,2023-10-21,2023-11-15,Partially Delivered
PO0110,SUP004,ABC Technologies,P108,Scanner,43,7673.56,329963.08,2023-05-09,2023-05-15,Ordered
PO0111,SUP002,Prime Supplies,P105,Mouse,81,648.0,52488.0,2023-11-08,2023-11-25,Delivered
PO0112,SUP006,Global Components,P110,UPS,23,4781.33,109970.59,2023-05-25,2023-06-22,Delivered
PO0113,SUP007,Vertex Traders,P113,SSD,39,3361.67,131105.13,2024-04-17,2024-05-02,Cancelled
PO0114,SUP008,ABC Technologies,P104,Keyboard,94,1304.47,122620.18,2024-10-05,2024-10-31,Cancelled
PO0115,SUP002,Reliable Systems,P113,SSD,30,4547.45,136423.5,2024-09-16,2024-09-27,Partially Delivered
PO0116,SUP007,National Electronics,P109,Projector,86,16988.88,1461043.68,2024-12-13,2024-12-28,Delivered
PO0117,SUP006,ABC Technologies,P102,Printer,28,7402.16,207260.48,2024-07-09,2024-07-31,Delivered
PO0118,SUP003,ABC Technologies,P105,Mouse,56,546.43,30600.08,2024-02-22,2024-03-03,Delivered
PO0119,SUP007,Metro Distributors,P104,Keyboard,89,1237.06,110098.34,2023-07-07,2023-07-20,Ordered
PO0120,SUP010,National Electronics,P101,Laptop,87,30979.86,2695247.82,2024-04-06,2024-05-03,Cancelled
PO0121,SUP006,Prime Supplies,P113,SSD,148,4396.47,650677.56,2023-02-03,2023-02-25,Partially Delivered
PO0122,SUP008,Smart Source,P107,Tablet,22,13109.74,288414.28,2024-10-31,2024-11-07,Partially Delivered
PO0123,SUP004,Vertex Traders,P102,Printer,129,7548.59,973768.11,2023-02-08,2023-02-22,Ordered
PO0124,SUP003,Prime Supplies,P103,Monitor,68,5687.75,386767.0,2024-01-11,2024-01-17,Partially Delivered
PO0125,SUP006,Prime Supplies,P107,Tablet,110,14333.05,1576635.5,2024-04-04,2024-05-03,Delivered
PO0126,SUP004,ABC Technologies,P104,Keyboard,44,1270.97,55922.68,2023-06-06,2023-06-30,Delivered
PO0127,SUP004,Metro Distributors,P101,Laptop,44,32452.84,1427924.96,2024-08-10,2024-08-18,Ordered
PO0128,SUP008,Smart Source,P104,Keyboard,15,1108.51,16627.65,2023-09-17,2023-10-05,Ordered
PO0129,SUP008,Vertex Traders,P112,Webcam,41,2403.51,98543.91,2024-03-14,2024-04-13,Ordered
PO0130,SUP010,Vertex Traders,P108,Scanner,119,5629.68,669931.92,2024-05-04,2024-05-28,Partially Delivered
PO0131,SUP004,ABC Technologies,P104,Keyboard,24,1083.72,26009.28,2024-10-19,2024-11-04,Ordered
PO0132,SUP005,Smart Source,P115,Headset,54,1975.37,106669.98,2024-08-18,2024-09-09,Delivered
PO0133,SUP003,Bluechip Suppliers,P104,Keyboard,17,1107.06,18820.02,2023-05-15,2023-05-21,Partially Delivered
PO0134,SUP001,Global Components,P108,Scanner,27,7922.66,213911.82,2024-08-18,2024-09-17,Cancelled
PO0135,SUP003,Reliable Systems,P112,Webcam,51,2679.31,136644.81,2024-11-08,2024-12-08,Ordered
PO0136,SUP009,Smart Source,P115,Headset,105,1362.11,143021.55,2024-02-28,2024-03-12,Ordered
PO0137,SUP006,Reliable Systems,P114,RAM,131,2822.1,369695.1,2024-12-08,2024-12-28,Cancelled
PO0138,SUP006,Bluechip Suppliers,P102,Printer,56,9932.37,556212.72,2023-02-21,2023-03-10,Delivered
PO0139,SUP003,Vertex Traders,P109,Projector,122,16694.32,2036707.04,2024-11-24,2024-12-14,Ordered
PO0140,SUP010,Vertex Traders,P103,Monitor,49,5159.98,252839.02,2023-02-11,2023-03-13,Cancelled
PO0141,SUP003,Metro Distributors,P107,Tablet,146,13959.53,2038091.38,2023-09-18,2023-10-09,Cancelled
PO0142,SUP003,Global Components,P104,Keyboard,58,1233.74,71556.92,2023-03-20,2023-04-19,Delivered
PO0143,SUP008,Bluechip Suppliers,P102,Printer,32,10125.58,324018.56,2023-05-03,2023-05-24,Ordered
PO0144,SUP010,ABC Technologies,P104,Keyboard,98,1520.56,149014.88,2024-07-20,2024-08-07,Ordered
PO0145,SUP001,Metro Distributors,P108,Scanner,22,7684.42,169057.24,2024-05-11,2024-05-25,Delivered
PO0146,SUP005,Vertex Traders,P106,Router,36,2542.14,91517.04,2024-09-26,2024-10-20,Delivered
PO0147,SUP002,Prime Supplies,P110,UPS,91,4623.39,420728.49,2023-04-23,2023-05-13,Delivered
PO0148,SUP004,Bluechip Suppliers,P103,Monitor,136,6668.83,906960.88,2023-09-18,2023-09-30,Cancelled
PO0149,SUP003,Global Components,P103,Monitor,51,4451.51,227027.01,2023-10-24,2023-11-02,Cancelled
PO0150,SUP005,Apex Industrial,P103,Monitor,106,6029.91,639170.46,2024-12-02,2025-01-01,Cancelled
PO0151,SUP009,Metro Distributors,P114,RAM,59,3126.0,184434.0,2023-01-02,2023-01-29,Delivered
PO0152,SUP009,Bluechip Suppliers,P105,Mouse,85,576.55,49006.75,2023-01-19,2023-02-02,Cancelled
PO0153,SUP003,ABC Technologies,P109,Projector,94,15498.65,1456873.1,2024-04-20,2024-04-25,Partially Delivered
PO0154,SUP002,Apex Industrial,P110,UPS,106,4678.72,495944.32,2024-12-01,2024-12-17,Partially Delivered
PO0155,SUP003,National Electronics,P104,Keyboard,124,1258.29,156027.96,2024-09-30,2024-10-27,Cancelled
PO0156,SUP006,National Electronics,P111,Desktop,63,25115.47,1582274.61,2024-09-04,2024-10-02,Delivered
PO0157,SUP006,Prime Supplies,P105,Mouse,57,617.13,35176.41,2024-05-24,2024-06-13,Delivered
PO0158,SUP002,National Electronics,P115,Headset,101,1728.41,174569.41,2023-01-18,2023-02-05,Partially Delivered
PO0159,SUP001,Vertex Traders,P109,Projector,31,16590.78,514314.18,2024-09-11,2024-09-20,Delivered
PO0160,SUP007,Metro Distributors,P103,Monitor,83,4680.86,388511.38,2023-11-27,2023-12-26,Ordered
PO0161,SUP010,National Electronics,P103,Monitor,91,5157.93,469371.63,2024-11-11,2024-12-08,Delivered
PO0162,SUP007,Prime Supplies,P107,Tablet,72,15157.6,1091347.2,2023-06-07,2023-07-02,Partially Delivered
PO0163,SUP006,Reliable Systems,P111,Desktop,56,23638.59,1323761.04,2024-01-22,2024-01-29,Ordered
PO0164,SUP002,Metro Distributors,P111,Desktop,96,24323.41,2335047.36,2023-07-29,2023-08-26,Ordered
PO0165,SUP003,Global Components,P101,Laptop,79,36108.45,2852567.55,2023-08-18,2023-09-14,Ordered
PO0166,SUP002,Vertex Traders,P103,Monitor,48,4626.47,222070.56,2023-06-27,2023-07-27,Partially Delivered
PO0167,SUP007,Bluechip Suppliers,P109,Projector,38,21374.32,812224.16,2024-07-05,2024-07-14,Cancelled
PO0168,SUP002,Apex Industrial,P109,Projector,137,23728.05,3250742.85,2023-11-02,2023-11-07,Ordered
PO0169,SUP007,Reliable Systems,P109,Projector,93,17602.01,1636986.93,2024-07-04,2024-07-10,Partially Delivered
PO0170,SUP001,National Electronics,P113,SSD,44,4406.33,193878.52,2024-11-20,2024-11-25,Delivered
PO0171,SUP009,Smart Source,P110,UPS,138,4948.02,682826.76,2024-05-24,2024-06-12,Delivered
PO0172,SUP007,Reliable Systems,P114,RAM,90,2683.69,241532.1,2024-02-02,2024-02-27,Cancelled
PO0173,SUP007,Prime Supplies,P112,Webcam,89,2504.07,222862.23,2023-05-02,2023-05-26,Delivered
PO0174,SUP007,Prime Supplies,P105,Mouse,56,525.18,29410.08,2023-05-25,2023-06-21,Delivered
PO0175,SUP002,ABC Technologies,P102,Printer,59,7258.88,428273.92,2023-11-09,2023-12-06,Partially Delivered
PO0176,SUP008,Bluechip Suppliers,P103,Monitor,74,5676.55,420064.7,2023-04-26,2023-05-10,Ordered
PO0177,SUP007,Apex Industrial,P102,Printer,130,9705.72,1261743.6,2024-04-02,2024-04-11,Partially Delivered
PO0178,SUP004,Global Components,P110,UPS,144,3473.76,500221.44,2023-06-14,2023-07-05,Ordered
PO0179,SUP001,Prime Supplies,P101,Laptop,66,40627.75,2681431.5,2024-03-08,2024-03-26,Ordered
PO0180,SUP003,Bluechip Suppliers,P101,Laptop,11,32717.53,359892.83,2023-07-21,2023-08-18,Partially Delivered
PO0181,SUP006,ABC Technologies,P104,Keyboard,149,1203.86,179375.14,2023-04-09,2023-04-14,Partially Delivered
PO0182,SUP009,ABC Technologies,P113,SSD,55,3470.75,190891.25,2024-06-26,2024-07-08,Partially Delivered
PO0183,SUP010,Apex Industrial,P109,Projector,51,23169.2,1181629.2,2024-09-22,2024-10-02,Ordered
PO0184,SUP003,Smart Source,P101,Laptop,125,33471.61,4183951.25,2024-12-15,2025-01-02,Cancelled
PO0185,SUP004,Bluechip Suppliers,P115,Headset,72,1937.61,139507.92,2023-07-01,2023-07-23,Cancelled
PO0186,SUP002,Bluechip Suppliers,P111,Desktop,62,25802.58,1599759.96,2024-05-10,2024-05-28,Partially Delivered
PO0187,SUP007,Prime Supplies,P111,Desktop,39,34229.24,1334940.36,2024-07-09,2024-08-08,Cancelled
PO0188,SUP002,ABC Technologies,P108,Scanner,36,5931.32,213527.52,2024-07-19,2024-08-02,Ordered
PO0189,SUP004,Apex Industrial,P104,Keyboard,49,1348.46,66074.54,2023-06-10,2023-06-21,Delivered
PO0190,SUP003,Smart Source,P102,Printer,148,9656.94,1429227.12,2023-08-18,2023-09-03,Ordered
PO0191,SUP007,Smart Source,P109,Projector,132,18133.08,2393566.56,2024-12-18,2024-12-23,Cancelled
PO0192,SUP006,Apex Industrial,P107,Tablet,34,16394.24,557404.16,2024-03-08,2024-04-06,Delivered
PO0193,SUP004,Global Components,P101,Laptop,147,35339.7,5194935.9,2024-10-31,2024-11-13,Delivered
PO0194,SUP009,Global Components,P108,Scanner,123,7951.09,977984.07,2023-04-30,2023-05-19,Partially Delivered
PO0195,SUP004,Bluechip Suppliers,P110,UPS,117,4343.2,508154.4,2024-06-30,2024-07-25,Partially Delivered
PO0196,SUP003,National Electronics,P106,Router,137,2112.1,289357.7,2024-11-22,2024-11-27,Cancelled
PO0197,SUP006,Apex Industrial,P106,Router,112,2485.56,278382.72,2023-06-24,2023-07-18,Ordered
PO0198,SUP009,Apex Industrial,P103,Monitor,92,5475.72,503766.24,2023-11-12,2023-12-06,Delivered
PO0199,SUP007,ABC Technologies,P106,Router,93,2159.69,200851.17,2023-10-07,2023-11-02,Cancelled
PO0200,SUP001,Smart Source,P112,Webcam,86,2611.13,224557.18,2024-08-16,2024-09-09,Partially Delivered
PO0201,SUP007,Apex Industrial,P111,Desktop,131,24898.26,3261672.06,2024-09-24,2024-10-12,Partially Delivered
PO0202,SUP001,Bluechip Suppliers,P102,Printer,122,8666.74,1057342.28,2024-02-10,2024-03-01,Ordered
PO0203,SUP005,Bluechip Suppliers,P109,Projector,127,17978.75,2283301.25,2024-11-27,2024-12-17,Partially Delivered
PO0204,SUP004,Apex Industrial,P111,Desktop,82,28210.91,2313294.62,2023-03-19,2023-04-09,Partially Delivered
PO0205,SUP009,Vertex Traders,P102,Printer,115,8263.36,950286.4,2023-10-23,2023-11-11,Delivered
PO0206,SUP005,Apex Industrial,P107,Tablet,147,17435.62,2563036.14,2023-04-20,2023-05-07,Ordered
PO0207,SUP009,National Electronics,P105,Mouse,84,580.33,48747.72,2024-09-11,2024-09-21,Ordered
PO0208,SUP007,Prime Supplies,P106,Router,53,2049.18,108606.54,2023-02-02,2023-02-12,Cancelled
PO0209,SUP001,ABC Technologies,P101,Laptop,111,33503.22,3718857.42,2024-07-20,2024-08-13,Delivered
PO0210,SUP002,Metro Distributors,P105,Mouse,146,720.06,105128.76,2024-01-03,2024-01-24,Ordered
PO0211,SUP001,Vertex Traders,P109,Projector,148,20214.33,2991720.84,2023-07-14,2023-08-09,Cancelled
PO0212,SUP008,Reliable Systems,P105,Mouse,148,643.79,95280.92,2024-09-25,2024-10-19,Ordered
PO0213,SUP003,Smart Source,P109,Projector,98,18894.35,1851646.3,2023-08-31,2023-09-05,Partially Delivered
PO0214,SUP006,National Electronics,P115,Headset,13,1354.02,17602.26,2023-08-06,2023-08-12,Cancelled
PO0215,SUP007,Reliable Systems,P102,Printer,101,8922.18,901140.18,2023-01-18,2023-02-03,Ordered
PO0216,SUP009,Reliable Systems,P109,Projector,76,21844.93,1660214.68,2023-07-16,2023-08-04,Cancelled
PO0217,SUP001,Global Components,P108,Scanner,23,6657.56,153123.88,2024-05-06,2024-06-03,Cancelled
PO0218,SUP002,Metro Distributors,P103,Monitor,116,6507.65,754887.4,2023-02-05,2023-02-10,Cancelled
PO0219,SUP005,Reliable Systems,P106,Router,41,1974.99,80974.59,2023-10-05,2023-10-19,Delivered
PO0220,SUP006,National Electronics,P110,UPS,21,4008.11,84170.31,2023-10-08,2023-11-03,Cancelled
PO0221,SUP003,Prime Supplies,P114,RAM,105,2277.91,239180.55,2023-02-09,2023-02-26,Ordered
PO0222,SUP003,Vertex Traders,P106,Router,98,2566.85,251551.3,2024-03-22,2024-04-11,Cancelled
PO0223,SUP010,ABC Technologies,P113,SSD,55,3328.99,183094.45,2023-07-05,2023-07-13,Partially Delivered
PO0224,SUP005,Smart Source,P104,Keyboard,65,1493.21,97058.65,2024-10-25,2024-11-20,Ordered
PO0225,SUP009,Reliable Systems,P105,Mouse,137,577.97,79181.89,2024-02-03,2024-02-17,Partially Delivered
PO0226,SUP002,Metro Distributors,P106,Router,67,2555.82,171239.94,2023-12-01,2023-12-11,Delivered
PO0227,SUP005,Vertex Traders,P106,Router,11,2438.55,26824.05,2023-03-25,2023-04-03,Partially Delivered
PO0228,SUP001,Metro Distributors,P104,Keyboard,36,1079.76,38871.36,2024-09-02,2024-09-08,Cancelled
PO0229,SUP008,Metro Distributors,P103,Monitor,57,6671.61,380281.77,2023-03-11,2023-04-07,Delivered
PO0230,SUP005,Bluechip Suppliers,P111,Desktop,128,29332.63,3754576.64,2024-03-11,2024-04-09,Delivered
PO0231,SUP006,Bluechip Suppliers,P110,UPS,98,4300.23,421422.54,2024-12-30,2025-01-25,Partially Delivered
PO0232,SUP006,Prime Supplies,P103,Monitor,56,5802.69,324950.64,2023-11-09,2023-11-19,Partially Delivered
PO0233,SUP008,Vertex Traders,P102,Printer,113,7016.36,792848.68,2024-05-29,2024-06-13,Ordered
PO0234,SUP001,Vertex Traders,P108,Scanner,27,5381.01,145287.27,2023-02-23,2023-03-16,Partially Delivered
PO0235,SUP005,Smart Source,P110,UPS,33,3764.99,124244.67,2024-04-10,2024-04-24,Delivered
PO0236,SUP003,Reliable Systems,P113,SSD,103,4078.74,420110.22,2024-01-01,2024-01-30,Cancelled
PO0237,SUP008,Global Components,P114,RAM,145,2924.25,424016.25,2023-10-30,2023-11-07,Partially Delivered
PO0238,SUP004,Reliable Systems,P110,UPS,86,4564.19,392520.34,2024-08-07,2024-08-26,Partially Delivered
PO0239,SUP009,Bluechip Suppliers,P114,RAM,62,2131.78,132170.36,2023-08-25,2023-09-14,Ordered
PO0240,SUP002,Global Components,P104,Keyboard,59,1057.4,62386.6,2023-08-11,2023-08-29,Delivered
PO0241,SUP001,Bluechip Suppliers,P104,Keyboard,143,1485.96,212492.28,2023-07-06,2023-07-24,Cancelled
PO0242,SUP006,Prime Supplies,P109,Projector,146,22872.85,3339436.1,2024-07-24,2024-07-31,Cancelled
