asset_id,location,install_year,last_maintenance_year,usage_hours_per_month,failure_count,condition_score,maintenance_cost_last_year,asset_type,operational_state,disposal_decision
A0116,ZoneY,2022,2025,91.26,2,0.1202629483284646,216.25,Sensor,Obsolete,Recycle
A0117,ZoneY,2023,2023,85.97,3,0.5165874812399573,647.69,Transformer,Degraded,Retain
A0118,SiteB,2009,2009,77.74,3,0.30022893149571,1204.65,Transformer,Obsolete,Sell
A0119,ZoneX,2009,2012,153.73,1,0.616926645661826,1013.96,Meter,Obsolete,Recycle
A0120,ZoneY,2008,2012,151.47,3,0.6208561956804775,1139.11,Transformer,Obsolete,Sell
A0121,SiteB,2014,2020,112.0,2,0.8446053483816609,1945.84,Sensor,Degraded,Retain
A0122,ZoneX,2008,2008,78.38,3,0.6068116937311406,1695.58,Sensor,Obsolete,Recycle
A0123,SiteB,2023,2025,99.2,4,0.3624330745223422,1288.92,Transformer,Obsolete,Discard
A0124,ZoneX,2015,2023,89.96,1,0.3841057026175689,770.95,Meter,Obsolete,Discard
A0125,SiteA,2020,2020,95.83,2,0.5978480266855218,899.4,Sensor,Degraded,Retain
A0126,SiteA,2023,2025,131.91,1,0.739168992547082,1100.8,Transformer,Degraded,Retain
A0127,ZoneY,2002,2006,68.53,3,0.6099379941256621,1160.48,Sensor,Obsolete,Discard
A0128,SiteB,2013,2019,117.84,1,0.6899364038245375,308.48,Transformer,Degraded,Retain
A0129,SiteB,2003,2007,111.76,2,0.2431715946304535,1491.74,Transformer,Obsolete,Discard
A0130,SiteB,2007,2008,129.37,2,0.7792930584291807,1476.28,Sensor,Obsolete,Sell
A0131,ZoneY,2012,2019,83.0,2,0.5087958988105765,204.65,Meter,Degraded,Retain
A0132,SiteB,2006,2011,31.69,3,0.078186375112547,836.16,Transformer,Obsolete,Discard
A0133,SiteB,2022,2025,74.28,5,0.3567524221694836,1051.21,Sensor,Obsolete,Recycle
A0134,SiteB,2006,2010,82.42,1,0.4437445755379984,903.63,Sensor,Obsolete,Sell
A0135,SiteA,2005,2013,109.43,2,0.3371358810240641,431.11,Meter,Obsolete,Recycle
A0136,SiteB,2018,2020,133.12,4,0.4178252844621443,818.41,Meter,Degraded,Retain
A0137,ZoneY,2003,2009,101.02,2,0.2868169176318242,783.8,Transformer,Obsolete,Recycle
A0138,SiteB,2005,2007,125.01,1,0.1337061417008722,1931.0,Meter,Obsolete,Discard
A0139,ZoneY,2000,2008,46.12,2,0.0864541714166492,236.05,Transformer,Obsolete,Recycle
A0140,ZoneX,2020,2023,102.19,3,0.610354813206463,1475.74,Meter,Degraded,Recycle
A0141,ZoneY,2012,2015,95.43,2,0.0913131041273914,1281.07,Meter,Obsolete,Discard
A0142,SiteA,2011,2017,113.47,4,0.1961290024120589,1498.56,Sensor,Obsolete,Sell
A0143,SiteA,2009,2011,132.51,2,0.3074146281068211,1956.1,Sensor,Obsolete,Recycle
A0144,ZoneY,2021,2025,93.25,5,0.7528862115273296,322.71,Sensor,Degraded,Retain
A0145,SiteA,2006,2007,90.84,2,0.3629653714493867,1776.99,Sensor,Obsolete,Sell
A0146,SiteB,2006,2011,50.31,2,0.4461936831071098,735.24,Meter,Obsolete,Discard
A0147,SiteA,2004,2010,97.02,1,0.5758108264801852,312.13,Transformer,Obsolete,Discard
A0148,SiteB,2018,2021,61.77,2,0.5263516906796066,928.64,Transformer,Degraded,Recycle
A0149,SiteB,2020,2022,121.9,5,0.9444559760398504,1568.52,Meter,Degraded,Recycle
A0150,SiteA,2022,2025,113.73,3,0.2671730228768252,1362.96,Sensor,Obsolete,Recycle
A0151,ZoneX,2019,2023,86.95,2,0.6019088889491022,876.6,Transformer,Degraded,Recycle
A0152,ZoneX,2002,2005,90.79,2,0.7031560670343239,655.51,Sensor,Obsolete,Discard
A0153,SiteA,2020,2025,88.61,6,0.2403252296165383,1424.41,Sensor,Obsolete,Sell
A0154,ZoneY,2023,2025,107.11,1,0.7125023538391846,1594.38,Transformer,Degraded,Recycle
A0155,ZoneY,2003,2009,70.85,5,0.3594203113615035,1608.47,Sensor,Obsolete,Sell
A0156,ZoneX,2016,2023,57.35,1,0.6278250915962907,275.51,Sensor,Degraded,Retain
A0157,SiteB,2010,2011,136.74,1,0.2984670291404273,1137.38,Sensor,Obsolete,Discard
A0158,SiteA,2002,2003,89.05,3,0.2403200874419953,418.7,Transformer,Obsolete,Recycle
A0159,SiteB,2004,2006,104.43,7,0.2243457800240484,1597.61,Meter,Obsolete,Recycle
A0160,ZoneY,2002,2007,75.15,2,0.8507907844745582,944.15,Meter,Obsolete,Sell
A0161,SiteB,2006,2010,98.81,4,0.4054910915810919,1030.8,Meter,Obsolete,Discard
A0162,ZoneX,2010,2017,124.85,2,0.2658347098447825,1308.77,Sensor,Obsolete,Discard
A0163,ZoneY,2016,2017,57.98,3,0.2416378084368307,788.48,Transformer,Obsolete,Recycle
A0164,ZoneY,2003,2005,96.82,2,0.8021092277674056,1393.48,Sensor,Obsolete,Recycle
A0165,SiteB,2007,2012,120.15,1,0.0871660327012827,1258.76,Sensor,Obsolete,Discard
A0166,ZoneY,2019,2022,153.76,1,0.5194112974804321,1283.86,Transformer,Degraded,Recycle
A0167,SiteB,2000,2002,80.0,1,0.5593587147218062,1619.51,Transformer,Obsolete,Sell
A0168,SiteA,2001,2003,65.75,2,0.3528410834727157,1356.62,Sensor,Obsolete,Discard
A0169,SiteB,2000,2000,98.1,6,0.705593472090773,1455.81,Sensor,Obsolete,Sell
A0170,SiteB,2018,2020,150.27,5,0.2548463325113776,345.08,Transformer,Obsolete,Discard
A0171,SiteA,2012,2018,91.77,2,0.488284093055002,1954.7,Sensor,Degraded,Recycle
A0172,SiteB,2014,2019,71.39,3,0.3671538829636184,1589.34,Meter,Obsolete,Recycle
A0173,ZoneX,2018,2023,107.41,2,0.3658055861389068,661.75,Meter,Obsolete,Discard
A0174,ZoneY,2001,2003,72.42,2,0.5823538698627374,239.66,Sensor,Obsolete,Discard
A0175,ZoneX,2012,2016,77.96,3,0.3855579219404287,1178.37,Transformer,Obsolete,Recycle
A0176,SiteB,2012,2017,104.57,3,0.1832820517616969,1028.29,Meter,Obsolete,Recycle
A0177,SiteB,2018,2024,78.68,3,0.6465716937923924,794.39,Transformer,Degraded,Retain
A0178,ZoneY,2003,2006,76.02,5,0.5649261581838702,317.37,Meter,Obsolete,Sell
A0179,ZoneX,2012,2014,102.5,2,0.4356810756356315,566.78,Sensor,Degraded,Recycle
A0180,ZoneY,2020,2025,82.96,1,0.205311348091605,552.51,Meter,Obsolete,Discard
A0181,ZoneX,2004,2011,17.21,3,0.6696756497109583,260.09,Meter,Obsolete,Recycle
A0182,ZoneX,2017,2024,61.5,3,0.3130586558174881,1109.37,Transformer,Obsolete,Recycle
A0183,ZoneY,2022,2022,107.95,4,0.4849236350708216,1494.84,Transformer,Degraded,Recycle
A0184,SiteB,2004,2005,91.99,3,0.6321002538932531,1978.52,Meter,Obsolete,Discard
A0185,SiteB,2000,2001,95.04,3,0.5701469922905518,631.77,Sensor,Obsolete,Discard
A0186,ZoneY,2002,2005,116.4,4,0.6579745763022891,657.15,Sensor,Obsolete,Recycle
A0187,SiteA,2012,2012,111.17,2,0.4120184529885207,702.7,Meter,Degraded,Retain
A0188,ZoneX,2020,2022,115.73,3,0.5591744607732706,1619.21,Sensor,Degraded,Recycle
A0189,ZoneX,2005,2006,125.78,0,0.8586897850647709,886.9,Meter,Obsolete,Sell
A0190,SiteA,2005,2007,57.16,3,0.4306411619276629,1473.84,Transformer,Obsolete,Discard
A0191,ZoneX,2009,2011,116.23,7,0.9130370675628272,333.63,Meter,Obsolete,Discard
A0192,ZoneY,2019,2025,115.85,2,0.3919482830587386,342.14,Transformer,Obsolete,Recycle
A0193,ZoneY,2006,2006,83.26,4,0.0559158578334211,258.76,Transformer,Obsolete,Recycle
A0194,SiteB,2014,2016,97.47,5,0.7778911940415303,998.08,Meter,Degraded,Retain
A0195,ZoneX,2009,2016,97.67,3,0.7763482589395977,1970.91,Sensor,Obsolete,Discard
A0196,ZoneY,2004,2011,72.07,1,0.6483579190037179,452.04,Sensor,Obsolete,Recycle
A0197,ZoneY,2013,2022,57.81,2,0.546004713557648,1229.69,Meter,Degraded,Recycle
A0198,SiteA,2017,2025,77.44,3,0.2727512418837131,1773.6,Sensor,Obsolete,Recycle
A0199,ZoneY,2010,2012,122.74,2,0.7357436997456568,734.11,Meter,Obsolete,Recycle
A0200,SiteB,2014,2023,125.06,2,0.3748987120830798,1286.83,Meter,Obsolete,Discard
A0201,ZoneY,2001,2002,124.56,2,0.1471242430675502,777.95,Sensor,Obsolete,Sell
A0202,SiteA,2001,2009,103.42,5,0.5813670421081111,1503.15,Sensor,Obsolete,Discard
A0203,SiteB,2005,2009,65.69,0,0.5459171225058733,278.73,Meter,Obsolete,Sell
A0204,SiteA,2019,2023,43.54,4,0.7291184801749712,1176.56,Transformer,Degraded,Recycle
A0205,SiteA,2022,2025,92.03,6,0.4788004017706891,874.2,Meter,Obsolete,Recycle
A0206,SiteB,2020,2025,123.39,2,0.9270677092022752,894.57,Sensor,Active,Retain
A0207,SiteB,2015,2015,136.66,2,0.515826577120535,378.74,Sensor,Degraded,Recycle
A0208,SiteB,2021,2025,112.55,3,0.7421254146133989,866.71,Transformer,Degraded,Recycle
A0209,ZoneY,2018,2022,21.29,2,0.245720686361787,503.01,Transformer,Obsolete,Recycle
A0210,SiteB,2002,2006,111.92,3,0.3955687272964759,825.1,Meter,Obsolete,Recycle
A0211,ZoneX,2005,2012,84.34,4,0.7311894998950416,1479.59,Transformer,Obsolete,Discard
A0212,SiteB,2010,2015,113.65,6,0.3766767980853598,1778.76,Meter,Obsolete,Recycle
A0213,ZoneY,2016,2021,96.26,5,0.3587279746244646,1086.19,Transformer,Obsolete,Sell
A0214,SiteB,2017,2018,141.23,5,0.2681492265994143,205.7,Sensor,Obsolete,Discard
A0215,ZoneX,2002,2002,117.81,2,0.5269567850071099,738.91,Sensor,Obsolete,Recycle
A0216,SiteA,2018,2019,136.43,5,0.3398740840908808,324.25,Meter,Obsolete,Sell
A0217,SiteA,2015,2022,89.31,5,0.831812944928169,244.1,Transformer,Degraded,Retain
A0218,ZoneY,2018,2020,163.28,2,0.5659021428151475,1715.73,Meter,Degraded,Retain
A0219,SiteB,2009,2014,123.79,1,0.2787174377845945,1646.27,Transformer,Obsolete,Discard
A0220,ZoneX,2011,2018,124.88,2,0.4501431644894548,1366.07,Sensor,Degraded,Retain
A0221,SiteB,2020,2025,108.32,4,0.6683144445215227,622.38,Meter,Degraded,Retain
A0222,SiteA,2008,2012,107.1,3,0.8177972128370733,297.8,Transformer,Obsolete,Discard
A0223,ZoneY,2022,2022,87.72,1,0.3679641248080459,312.84,Sensor,Obsolete,Discard
A0224,ZoneY,2013,2014,37.8,4,0.3754478819921689,1897.37,Sensor,Obsolete,Recycle
A0225,ZoneX,2008,2010,131.8,3,0.2157083388941936,1466.94,Meter,Obsolete,Recycle
A0226,SiteB,2022,2025,87.57,2,0.3087227450190892,1055.73,Meter,Obsolete,Sell
A0227,ZoneY,2000,2002,104.73,1,0.59840472517411,1023.86,Transformer,Obsolete,Sell
A0228,ZoneY,2005,2006,138.12,0,0.5712620783592471,1495.38,Meter,Obsolete,Sell
A0229,SiteB,2006,2014,60.22,4,0.1078245507772005,1529.48,Meter,Obsolete,Discard
A0230,SiteB,2006,2011,64.32,3,0.9456086797814262,226.45,Transformer,Obsolete,Recycle
A0231,SiteB,2016,2020,103.57,4,0.1737431389172947,1504.74,Sensor,Obsolete,Recycle
A0232,ZoneX,2012,2020,100.67,6,0.4789744114356276,678.05,Meter,Obsolete,Recycle
A0233,ZoneY,2000,2004,117.75,3,0.4912144404690778,1782.66,Sensor,Obsolete,Sell
A0234,ZoneY,2014,2016,120.11,3,0.6374560300078584,1052.86,Transformer,Degraded,Recycle
A0235,SiteB,2010,2019,50.7,4,0.3428331128410966,1506.13,Transformer,Obsolete,Sell
A0236,SiteB,2021,2025,110.16,4,0.5471285032232864,1851.47,Meter,Degraded,Recycle
A0237,SiteB,2001,2008,125.46,2,0.5000853659165904,614.45,Sensor,Obsolete,Recycle
A0238,ZoneY,2005,2012,51.77,2,0.5702523831981269,979.07,Meter,Obsolete,Recycle
A0239,ZoneY,2021,2023,141.19,2,0.3150085913138461,1912.57,Meter,Obsolete,Sell
A0240,ZoneX,2001,2008,52.06,2,0.5063036204573109,491.01,Sensor,Obsolete,Sell
A0241,ZoneY,2016,2023,100.57,3,0.5249175842587019,1611.96,Meter,Degraded,Recycle
A0242,SiteA,2005,2014,85.3,3,0.1697967844123094,1343.8,Sensor,Obsolete,Discard
A0243,SiteB,2010,2013,56.1,6,0.0598525131453323,544.87,Sensor,Obsolete,Recycle
A0244,ZoneX,2004,2007,100.43,1,0.2670615831107501,1910.83,Meter,Obsolete,Discard
A0245,SiteA,2015,2019,94.32,4,0.6984839887776843,921.7,Sensor,Degraded,Retain
A0246,SiteA,2005,2008,57.44,2,0.8151845577820918,1783.09,Sensor,Obsolete,Sell
A0247,SiteB,2007,2007,141.55,5,0.2391722032557632,708.45,Meter,Obsolete,Sell
A0248,SiteA,2019,2025,94.98,3,0.7748367186723039,218.16,Transformer,Degraded,Recycle
A0249,SiteA,2014,2017,119.37,1,0.823526131257624,960.73,Sensor,Degraded,Recycle
A0250,ZoneX,2019,2020,74.38,1,0.2819773128857075,469.28,Sensor,Obsolete,Sell
A0251,ZoneY,2007,2013,154.06,4,0.8660622806933305,1566.21,Meter,Obsolete,Discard
A0252,SiteB,2019,2024,123.79,4,0.5050237437800931,419.65,Meter,Degraded,Retain
A0253,SiteA,2018,2025,119.98,2,0.496877954070061,1211.73,Meter,Degraded,Recycle
A0254,SiteA,2016,2022,123.37,3,0.6759464896624584,423.89,Meter,Degraded,Retain
A0255,SiteA,2021,2025,132.26,2,0.2451484120730228,755.9,Meter,Obsolete,Discard
A0256,SiteA,2003,2008,157.83,4,0.4921427749323827,769.79,Transformer,Obsolete,Recycle
A0257,SiteA,2011,2016,131.8,5,0.5962660104807471,752.2,Meter,Degraded,Recycle
A0258,ZoneX,2020,2020,80.81,5,0.5796410015362855,569.72,Sensor,Degraded,Retain
A0259,SiteB,2003,2009,104.8,3,0.6462383116664177,977.63,Meter,Obsolete,Sell
A0260,ZoneX,2020,2025,84.16,0,0.5820715710374721,1962.12,Transformer,Degraded,Recycle
A0261,SiteA,2010,2018,126.71,3,0.924886997421459,1382.16,Meter,Obsolete,Discard
A0262,SiteA,2020,2025,96.16,2,0.8399045529272664,1196.08,Sensor,Active,Retain
A0263,SiteB,2010,2014,124.34,3,0.2924090620985871,1462.05,Sensor,Obsolete,Sell
A0264,SiteA,2006,2014,108.3,1,0.6399586674522233,596.87,Sensor,Obsolete,Discard
A0265,ZoneY,2012,2020,88.44,3,0.5348313764690381,981.24,Meter,Degraded,Retain
A0266,SiteB,2010,2013,88.91,2,0.550612627811257,1485.29,Transformer,Obsolete,Sell
A0267,ZoneX,2008,2015,131.78,1,0.7757173267321079,1274.77,Sensor,Obsolete,Recycle
A0268,ZoneX,2001,2002,43.68,3,0.133266866831927,1124.5,Transformer,Obsolete,Discard
A0269,SiteA,2008,2014,104.63,1,0.5901284786216621,863.21,Meter,Obsolete,Discard
A0270,ZoneY,2014,2019,170.92,1,0.222860806221007,1700.56,Transformer,Obsolete,Sell
A0271,ZoneX,2010,2017,159.78,2,0.4143975647641874,1104.74,Sensor,Obsolete,Discard
A0272,ZoneX,2016,2021,98.64,0,0.5535621554668361,935.8,Transformer,Degraded,Recycle
A0273,SiteB,2010,2015,91.63,1,0.4186656134678464,398.78,Sensor,Obsolete,Sell
A0274,SiteB,2015,2019,104.95,0,0.347045609133233,1536.56,Transformer,Obsolete,Discard
A0275,ZoneY,2023,2025,114.46,4,0.6410705511584214,1105.64,Sensor,Degraded,Retain
A0276,ZoneX,2011,2016,74.46,5,0.1443933268842572,1080.88,Sensor,Obsolete,Discard
A0277,SiteA,2010,2010,118.59,4,0.4722092750074909,1342.35,Transformer,Obsolete,Recycle
A0278,ZoneY,2013,2015,110.46,3,0.5946314959603233,1927.75,Sensor,Degraded,Recycle
A0279,SiteA,2013,2020,98.83,5,0.2315068383767149,1901.21,Transformer,Obsolete,Recycle
